area,year,measurement,units,value,region_of_residence,breakdown_of_domestic_tourism
West Dunbartonshire,2016-2018,Count,million pounds (GBP),8,England,Expenditure
West Dunbartonshire,2015-2017,Count,Thousand Nights,140,All of GB,Nights
West Dunbartonshire,2015-2017,Count,million pounds (GBP),8,England,Expenditure
West Dunbartonshire,2017-2019,Count,Thousand Nights,76,England,Nights
West Dunbartonshire,2009-2011,Count,Thousand Visits,68,Scotland,Visits
West Dunbartonshire,2016-2018,Count,Thousand Nights,59,Scotland,Nights
West Dunbartonshire,2016-2018,Count,million pounds (GBP),4,Scotland,Expenditure
West Dunbartonshire,2013-2015,Count,Thousand Visits,32,Scotland,Visits
West Dunbartonshire,2012-2014,Count,million pounds (GBP),6,England,Expenditure
West Dunbartonshire,2015-2017,Count,Thousand Visits,28,England,Visits
West Dunbartonshire,2010-2012,Count,Thousand Visits,27,England,Visits
West Dunbartonshire,2009-2011,Count,million pounds (GBP),3,England,Expenditure
West Dunbartonshire,2010-2012,Count,million pounds (GBP),13,Scotland,Expenditure
West Dunbartonshire,2012-2014,Count,Thousand Visits,67,All of GB,Visits
West Dunbartonshire,2010-2012,Count,Thousand Nights,183,Scotland,Nights
West Dunbartonshire,2011-2013,Count,million pounds (GBP),16,All of GB,Expenditure
West Dunbartonshire,2013-2015,Count,Thousand Nights,49,Scotland,Nights
West Dunbartonshire,2011-2013,Count,Thousand Visits,44,Scotland,Visits
West Dunbartonshire,2014-2016,Count,million pounds (GBP),9,England,Expenditure
West Dunbartonshire,2017-2019,Count,Thousand Visits,70,All of GB,Visits
West Dunbartonshire,2016-2018,Count,Thousand Nights,144,All of GB,Nights
West Dunbartonshire,2016-2018,Count,Thousand Visits,28,England,Visits
West Dunbartonshire,2013-2015,Count,Thousand Visits,61,All of GB,Visits
West Dunbartonshire,2015-2017,Count,Thousand Nights,58,Scotland,Nights
West Dunbartonshire,2011-2013,Count,Thousand Visits,29,England,Visits
West Dunbartonshire,2016-2018,Count,Thousand Visits,28,Scotland,Visits
West Dunbartonshire,2017-2019,Count,million pounds (GBP),4,Scotland,Expenditure
West Dunbartonshire,2015-2017,Count,Thousand Visits,64,All of GB,Visits
West Dunbartonshire,2011-2013,Count,million pounds (GBP),4,England,Expenditure
West Dunbartonshire,2013-2015,Count,million pounds (GBP),4,England,Expenditure
West Dunbartonshire,2014-2016,Count,Thousand Visits,28,Scotland,Visits
West Dunbartonshire,2014-2016,Count,Thousand Nights,128,All of GB,Nights
West Dunbartonshire,2017-2019,Count,Thousand Nights,98,Scotland,Nights
West Dunbartonshire,2009-2011,Count,Thousand Nights,153,Scotland,Nights
West Dunbartonshire,2017-2019,Count,Thousand Visits,22,England,Visits
West Dunbartonshire,2013-2015,Count,Thousand Nights,64,England,Nights
West Dunbartonshire,2012-2014,Count,million pounds (GBP),2,Scotland,Expenditure
West Dunbartonshire,2009-2011,Count,Thousand Visits,96,All of GB,Visits
West Dunbartonshire,2011-2013,Count,Thousand Nights,256,All of GB,Nights
West Dunbartonshire,2012-2014,Count,Thousand Nights,90,England,Nights
West Dunbartonshire,2009-2011,Count,Thousand Nights,318,All of GB,Nights
West Dunbartonshire,2015-2017,Count,million pounds (GBP),4,Scotland,Expenditure
West Dunbartonshire,2014-2016,Count,Thousand Visits,64,All of GB,Visits
West Dunbartonshire,2009-2011,Count,Thousand Nights,110,England,Nights
West Dunbartonshire,2010-2012,Count,Thousand Visits,92,All of GB,Visits
West Dunbartonshire,2010-2012,Count,Thousand Visits,59,Scotland,Visits
West Dunbartonshire,2010-2012,Count,million pounds (GBP),19,All of GB,Expenditure
West Dunbartonshire,2011-2013,Count,Thousand Visits,81,All of GB,Visits
West Dunbartonshire,2012-2014,Count,Thousand Visits,26,Scotland,Visits
West Dunbartonshire,2017-2019,Count,million pounds (GBP),11,England,Expenditure
West Dunbartonshire,2013-2015,Count,Thousand Visits,27,England,Visits
West Dunbartonshire,2013-2015,Count,Thousand Nights,118,All of GB,Nights
West Dunbartonshire,2016-2018,Count,million pounds (GBP),12,All of GB,Expenditure
West Dunbartonshire,2015-2017,Count,Thousand Visits,36,Scotland,Visits
West Dunbartonshire,2014-2016,Count,Thousand Nights,40,Scotland,Nights
West Dunbartonshire,2013-2015,Count,million pounds (GBP),3,Scotland,Expenditure
West Dunbartonshire,2016-2018,Count,Thousand Visits,56,All of GB,Visits
West Dunbartonshire,2010-2012,Count,Thousand Nights,84,England,Nights
West Dunbartonshire,2015-2017,Count,Thousand Nights,82,England,Nights
West Dunbartonshire,2010-2012,Count,million pounds (GBP),4,England,Expenditure
West Dunbartonshire,2012-2014,Count,million pounds (GBP),10,All of GB,Expenditure
West Dunbartonshire,2011-2013,Count,Thousand Nights,81,England,Nights
West Dunbartonshire,2011-2013,Count,Thousand Nights,161,Scotland,Nights
West Dunbartonshire,2010-2012,Count,Thousand Nights,273,All of GB,Nights
West Dunbartonshire,2009-2011,Count,Thousand Visits,24,England,Visits
West Dunbartonshire,2012-2014,Count,Thousand Nights,91,Scotland,Nights
West Dunbartonshire,2013-2015,Count,million pounds (GBP),8,All of GB,Expenditure
West Dunbartonshire,2009-2011,Count,million pounds (GBP),14,Scotland,Expenditure
West Dunbartonshire,2014-2016,Count,Thousand Visits,36,England,Visits
West Dunbartonshire,2017-2019,Count,million pounds (GBP),15,All of GB,Expenditure
West Dunbartonshire,2011-2013,Count,million pounds (GBP),9,Scotland,Expenditure
West Dunbartonshire,2015-2017,Count,million pounds (GBP),13,All of GB,Expenditure
West Dunbartonshire,2017-2019,Count,Thousand Visits,48,Scotland,Visits
West Dunbartonshire,2017-2019,Count,Thousand Nights,174,All of GB,Nights
West Dunbartonshire,2014-2016,Count,Thousand Nights,91,England,Nights
West Dunbartonshire,2012-2014,Count,Thousand Visits,32,England,Visits
West Dunbartonshire,2014-2016,Count,million pounds (GBP),12,All of GB,Expenditure
West Dunbartonshire,2009-2011,Count,million pounds (GBP),19,All of GB,Expenditure
West Dunbartonshire,2016-2018,Count,Thousand Nights,84,England,Nights
West Dunbartonshire,2014-2016,Count,million pounds (GBP),3,Scotland,Expenditure
West Dunbartonshire,2012-2014,Count,Thousand Nights,192,All of GB,Nights
West Lothian,2016-2018,Count,Thousand Nights,197,All of GB,Nights
West Lothian,2015-2017,Count,Thousand Nights,115,England,Nights
West Lothian,2015-2017,Count,Thousand Visits,48,England,Visits
West Lothian,2015-2017,Count,million pounds (GBP),2,Scotland,Expenditure
West Lothian,2013-2015,Count,Thousand Visits,135,All of GB,Visits
West Lothian,2010-2012,Count,Thousand Visits,51,England,Visits
West Lothian,2010-2012,Count,million pounds (GBP),14,All of GB,Expenditure
West Lothian,2010-2012,Count,million pounds (GBP),3,Scotland,Expenditure
West Lothian,2012-2014,Count,Thousand Visits,66,Scotland,Visits
West Lothian,2017-2019,Count,million pounds (GBP),9,England,Expenditure
West Lothian,2009-2011,Count,Thousand Visits,56,England,Visits
West Lothian,2013-2015,Count,Thousand Nights,291,All of GB,Nights
West Lothian,2011-2013,Count,Thousand Visits,54,Scotland,Visits
West Lothian,2011-2013,Count,Thousand Nights,104,Scotland,Nights
West Lothian,2011-2013,Count,million pounds (GBP),13,All of GB,Expenditure
West Lothian,2016-2018,Count,Thousand Visits,62,England,Visits
West Lothian,2013-2015,Count,Thousand Visits,60,England,Visits
West Lothian,2017-2019,Count,Thousand Visits,39,Scotland,Visits
West Lothian,2015-2017,Count,million pounds (GBP),7,England,Expenditure
West Lothian,2011-2013,Count,million pounds (GBP),4,Scotland,Expenditure
West Lothian,2014-2016,Count,Thousand Visits,140,All of GB,Visits
West Lothian,2017-2019,Count,Thousand Nights,130,England,Nights
West Lothian,2009-2011,Count,Thousand Visits,98,Scotland,Visits
West Lothian,2012-2014,Count,Thousand Visits,143,All of GB,Visits
West Lothian,2009-2011,Count,Thousand Visits,156,All of GB,Visits
West Lothian,2012-2014,Count,million pounds (GBP),7,England,Expenditure
West Lothian,2013-2015,Count,Thousand Nights,243,England,Nights
West Lothian,2009-2011,Count,Thousand Nights,280,England,Nights
West Lothian,2009-2011,Count,million pounds (GBP),5,Scotland,Expenditure
West Lothian,2012-2014,Count,Thousand Nights,271,England,Nights
West Lothian,2016-2018,Count,Thousand Visits,86,All of GB,Visits
West Lothian,2013-2015,Count,million pounds (GBP),15,All of GB,Expenditure
West Lothian,2011-2013,Count,Thousand Nights,124,England,Nights
West Lothian,2012-2014,Count,Thousand Nights,330,All of GB,Nights
West Lothian,2012-2014,Count,million pounds (GBP),7,Scotland,Expenditure
West Lothian,2015-2017,Count,Thousand Visits,27,Scotland,Visits
West Lothian,2011-2013,Count,Thousand Nights,228,All of GB,Nights
West Lothian,2013-2015,Count,million pounds (GBP),7,Scotland,Expenditure
West Lothian,2014-2016,Count,Thousand Nights,313,All of GB,Nights
West Lothian,2014-2016,Count,Thousand Nights,88,Scotland,Nights
West Lothian,2015-2017,Count,Thousand Visits,77,All of GB,Visits
West Lothian,2016-2018,Count,Thousand Nights,53,Scotland,Nights
West Lothian,2010-2012,Count,Thousand Visits,124,All of GB,Visits
West Lothian,2010-2012,Count,Thousand Visits,72,Scotland,Visits
West Lothian,2011-2013,Count,Thousand Visits,103,All of GB,Visits
West Lothian,2013-2015,Count,Thousand Visits,66,Scotland,Visits
West Lothian,2016-2018,Count,million pounds (GBP),12,All of GB,Expenditure
West Lothian,2010-2012,Count,million pounds (GBP),10,England,Expenditure
West Lothian,2009-2011,Count,Thousand Nights,476,All of GB,Nights
West Lothian,2010-2012,Count,Thousand Nights,282,All of GB,Nights
West Lothian,2009-2011,Count,Thousand Nights,186,Scotland,Nights
West Lothian,2012-2014,Count,million pounds (GBP),15,All of GB,Expenditure
West Lothian,2011-2013,Count,Thousand Visits,49,England,Visits
West Lothian,2009-2011,Count,million pounds (GBP),9,England,Expenditure
West Lothian,2015-2017,Count,Thousand Nights,39,Scotland,Nights
West Lothian,2011-2013,Count,million pounds (GBP),9,England,Expenditure
West Lothian,2016-2018,Count,Thousand Nights,144,England,Nights
West Lothian,2017-2019,Count,Thousand Nights,88,Scotland,Nights
West Lothian,2017-2019,Count,million pounds (GBP),12,All of GB,Expenditure
West Lothian,2017-2019,Count,Thousand Visits,56,England,Visits
West Lothian,2014-2016,Count,million pounds (GBP),8,England,Expenditure
West Lothian,2012-2014,Count,Thousand Nights,114,Scotland,Nights
West Lothian,2014-2016,Count,million pounds (GBP),6,Scotland,Expenditure
West Lothian,2017-2019,Count,million pounds (GBP),3,Scotland,Expenditure
West Lothian,2012-2014,Count,Thousand Visits,71,England,Visits
West Lothian,2015-2017,Count,Thousand Nights,157,All of GB,Nights
West Lothian,2016-2018,Count,million pounds (GBP),3,Scotland,Expenditure
West Lothian,2013-2015,Count,million pounds (GBP),7,England,Expenditure
West Lothian,2010-2012,Count,Thousand Nights,148,Scotland,Nights
West Lothian,2016-2018,Count,Thousand Visits,24,Scotland,Visits
West Lothian,2014-2016,Count,Thousand Visits,59,Scotland,Visits
West Lothian,2010-2012,Count,Thousand Nights,124,England,Nights
West Lothian,2017-2019,Count,Thousand Visits,95,All of GB,Visits
West Lothian,2016-2018,Count,million pounds (GBP),9,England,Expenditure
West Lothian,2014-2016,Count,Thousand Visits,72,England,Visits
West Lothian,2014-2016,Count,million pounds (GBP),16,All of GB,Expenditure
West Lothian,2009-2011,Count,million pounds (GBP),14,All of GB,Expenditure
West Lothian,2013-2015,Count,Thousand Nights,100,Scotland,Nights
West Lothian,2014-2016,Count,Thousand Nights,278,England,Nights
West Lothian,2015-2017,Count,million pounds (GBP),10,All of GB,Expenditure
West Lothian,2017-2019,Count,Thousand Nights,218,All of GB,Nights
Scotland,2012-2014,Count,Thousand Visits,6441,Scotland,Visits
Scotland,2010-2012,Count,Thousand Nights,18949,Scotland,Nights
Scotland,2010-2012,Count,million pounds (GBP),1675,England,Expenditure
Scotland,2010-2012,Count,Thousand Visits,12736,All of GB,Visits
Scotland,2009-2011,Count,Thousand Visits,5906,England,Visits
Scotland,2011-2013,Count,Thousand Nights,18188,Scotland,Nights
Scotland,2017-2019,Count,Thousand Nights,41937,All of GB,Nights
Scotland,2014-2016,Count,Thousand Nights,40607,All of GB,Nights
Scotland,2012-2014,Count,Thousand Nights,22965,England,Nights
Scotland,2010-2012,Count,Thousand Visits,5921,England,Visits
Scotland,2014-2016,Count,million pounds (GBP),1126,Scotland,Expenditure
Scotland,2017-2019,Count,Thousand Visits,12426,All of GB,Visits
Scotland,2013-2015,Count,Thousand Nights,17977,Scotland,Nights
Scotland,2016-2018,Count,Thousand Nights,39424,All of GB,Nights
Scotland,2017-2019,Count,Thousand Nights,17996,Scotland,Nights
Scotland,2012-2014,Count,Thousand Nights,18464,Scotland,Nights
Scotland,2011-2013,Count,Thousand Visits,12745,All of GB,Visits
Scotland,2014-2016,Count,Thousand Visits,12007,All of GB,Visits
Scotland,2010-2012,Count,Thousand Visits,6593,Scotland,Visits
Scotland,2013-2015,Count,Thousand Visits,12210,All of GB,Visits
Scotland,2009-2011,Count,Thousand Visits,12499,All of GB,Visits
Scotland,2014-2016,Count,Thousand Nights,22698,England,Nights
Scotland,2016-2018,Count,Thousand Visits,6062,England,Visits
Scotland,2016-2018,Count,Thousand Nights,22836,England,Nights
Scotland,2015-2017,Count,million pounds (GBP),3061,All of GB,Expenditure
Scotland,2015-2017,Count,Thousand Nights,15759,Scotland,Nights
Scotland,2011-2013,Count,million pounds (GBP),1730,England,Expenditure
Scotland,2010-2012,Count,Thousand Nights,24112,England,Nights
Scotland,2009-2011,Count,million pounds (GBP),2698,All of GB,Expenditure
Scotland,2012-2014,Count,Thousand Nights,42551,All of GB,Nights
Scotland,2013-2015,Count,Thousand Nights,22957,England,Nights
Scotland,2011-2013,Count,Thousand Nights,43876,All of GB,Nights
Scotland,2012-2014,Count,million pounds (GBP),1146,Scotland,Expenditure
Scotland,2013-2015,Count,million pounds (GBP),1163,Scotland,Expenditure
Scotland,2011-2013,Count,Thousand Nights,24459,England,Nights
Scotland,2012-2014,Count,Thousand Visits,5742,England,Visits
Scotland,2016-2018,Count,Thousand Visits,5632,Scotland,Visits
Scotland,2016-2018,Count,Thousand Nights,15575,Scotland,Nights
Scotland,2009-2011,Count,Thousand Nights,25103,England,Nights
Scotland,2017-2019,Count,million pounds (GBP),2989,All of GB,Expenditure
Scotland,2011-2013,Count,Thousand Visits,5943,England,Visits
Scotland,2009-2011,Count,million pounds (GBP),1644,England,Expenditure
Scotland,2015-2017,Count,Thousand Visits,5650,Scotland,Visits
Scotland,2016-2018,Count,million pounds (GBP),1040,Scotland,Expenditure
Scotland,2014-2016,Count,million pounds (GBP),3016,All of GB,Expenditure
Scotland,2013-2015,Count,million pounds (GBP),1777,England,Expenditure
Scotland,2009-2011,Count,Thousand Nights,44671,All of GB,Nights
Scotland,2009-2011,Count,Thousand Nights,18434,Scotland,Nights
Scotland,2017-2019,Count,Thousand Visits,5920,England,Visits
Scotland,2017-2019,Count,million pounds (GBP),1163,Scotland,Expenditure
Scotland,2015-2017,Count,million pounds (GBP),1928,England,Expenditure
Scotland,2010-2012,Count,million pounds (GBP),1043,Scotland,Expenditure
Scotland,2017-2019,Count,Thousand Nights,23002,England,Nights
Scotland,2011-2013,Count,Thousand Visits,6580,Scotland,Visits
Scotland,2009-2011,Count,million pounds (GBP),970,Scotland,Expenditure
Scotland,2012-2014,Count,Thousand Visits,12464,All of GB,Visits
Scotland,2010-2012,Count,million pounds (GBP),2809,All of GB,Expenditure
Scotland,2014-2016,Count,million pounds (GBP),1823,England,Expenditure
Scotland,2013-2015,Count,million pounds (GBP),3013,All of GB,Expenditure
Scotland,2011-2013,Count,million pounds (GBP),1097,Scotland,Expenditure
Scotland,2015-2017,Count,Thousand Visits,6141,England,Visits
Scotland,2016-2018,Count,Thousand Visits,11943,All of GB,Visits
Scotland,2009-2011,Count,Thousand Visits,6378,Scotland,Visits
Scotland,2015-2017,Count,Thousand Visits,12004,All of GB,Visits
Scotland,2017-2019,Count,million pounds (GBP),1767,England,Expenditure
Scotland,2016-2018,Count,million pounds (GBP),2888,All of GB,Expenditure
Scotland,2013-2015,Count,Thousand Visits,5721,England,Visits
Scotland,2015-2017,Count,Thousand Nights,39759,All of GB,Nights
Scotland,2014-2016,Count,Thousand Visits,5787,England,Visits
Scotland,2012-2014,Count,million pounds (GBP),1649,England,Expenditure
Scotland,2011-2013,Count,million pounds (GBP),2933,All of GB,Expenditure
Scotland,2014-2016,Count,Thousand Visits,5940,Scotland,Visits
Scotland,2013-2015,Count,Thousand Nights,41890,All of GB,Nights
Scotland,2012-2014,Count,million pounds (GBP),2884,All of GB,Expenditure
Scotland,2016-2018,Count,million pounds (GBP),1788,England,Expenditure
Scotland,2013-2015,Count,Thousand Visits,6227,Scotland,Visits
Scotland,2014-2016,Count,Thousand Nights,16936,Scotland,Nights
Scotland,2015-2017,Count,Thousand Nights,23109,England,Nights
Scotland,2015-2017,Count,million pounds (GBP),1079,Scotland,Expenditure
Scotland,2017-2019,Count,Thousand Visits,6284,Scotland,Visits
Scotland,2010-2012,Count,Thousand Nights,44181,All of GB,Nights
Clackmannanshire,2009-2011,Count,Thousand Visits,23,Scotland,Visits
Clackmannanshire,2015-2017,Count,Thousand Visits,21,England,Visits
Clackmannanshire,2013-2015,Count,Thousand Visits,21,Scotland,Visits
Clackmannanshire,2016-2018,Count,Thousand Nights,47,All of GB,Nights
Clackmannanshire,2009-2011,Count,million pounds (GBP),7,All of GB,Expenditure
Clackmannanshire,2011-2013,Count,Thousand Visits,15,Scotland,Visits
Clackmannanshire,2016-2018,Count,Thousand Visits,13,England,Visits
Clackmannanshire,2011-2013,Count,million pounds (GBP),5,All of GB,Expenditure
Clackmannanshire,2012-2014,Count,Thousand Nights,25,Scotland,Nights
Clackmannanshire,2009-2011,Count,million pounds (GBP),2,Scotland,Expenditure
Clackmannanshire,2016-2018,Count,Thousand Nights,11,Scotland,Nights
Clackmannanshire,2015-2017,Count,Thousand Nights,86,England,Nights
Clackmannanshire,2016-2018,Count,Thousand Nights,37,England,Nights
Clackmannanshire,2017-2019,Count,Thousand Nights,111,All of GB,Nights
Clackmannanshire,2015-2017,Count,Thousand Nights,26,Scotland,Nights
Clackmannanshire,2010-2012,Count,Thousand Nights,35,Scotland,Nights
Clackmannanshire,2013-2015,Count,million pounds (GBP),2,Scotland,Expenditure
Clackmannanshire,2009-2011,Count,Thousand Nights,39,Scotland,Nights
Clackmannanshire,2017-2019,Count,Thousand Visits,21,Scotland,Visits
Clackmannanshire,2010-2012,Count,Thousand Visits,21,Scotland,Visits
Clackmannanshire,2015-2017,Count,Thousand Nights,112,All of GB,Nights
Clackmannanshire,2015-2017,Count,Thousand Visits,13,Scotland,Visits
Clackmannanshire,2016-2018,Count,Thousand Visits,9,Scotland,Visits
Clackmannanshire,2016-2018,Count,million pounds (GBP),1,Scotland,Expenditure
Clackmannanshire,2010-2012,Count,million pounds (GBP),8,All of GB,Expenditure
Clackmannanshire,2011-2013,Count,Thousand Nights,24,Scotland,Nights
Clackmannanshire,2010-2012,Count,million pounds (GBP),2,Scotland,Expenditure
Clackmannanshire,2011-2013,Count,million pounds (GBP),2,Scotland,Expenditure
Clackmannanshire,2014-2016,Count,Thousand Nights,89,England,Nights
Clackmannanshire,2009-2011,Count,Thousand Visits,49,All of GB,Visits
Clackmannanshire,2010-2012,Count,Thousand Visits,50,All of GB,Visits
Clackmannanshire,2011-2013,Count,Thousand Visits,20,England,Visits
Clackmannanshire,2012-2014,Count,Thousand Visits,41,All of GB,Visits
Clackmannanshire,2012-2014,Count,million pounds (GBP),1,Scotland,Expenditure
Clackmannanshire,2017-2019,Count,million pounds (GBP),2,Scotland,Expenditure
Clackmannanshire,2016-2018,Count,million pounds (GBP),1,England,Expenditure
Clackmannanshire,2015-2017,Count,million pounds (GBP),3,England,Expenditure
Clackmannanshire,2012-2014,Count,Thousand Nights,96,All of GB,Nights
Clackmannanshire,2012-2014,Count,Thousand Visits,27,England,Visits
Clackmannanshire,2016-2018,Count,million pounds (GBP),2,All of GB,Expenditure
Clackmannanshire,2012-2014,Count,Thousand Visits,14,Scotland,Visits
Clackmannanshire,2017-2019,Count,million pounds (GBP),3,All of GB,Expenditure
Clackmannanshire,2014-2016,Count,Thousand Nights,39,Scotland,Nights
Clackmannanshire,2017-2019,Count,Thousand Nights,46,England,Nights
Clackmannanshire,2012-2014,Count,Thousand Nights,71,England,Nights
Clackmannanshire,2017-2019,Count,Thousand Visits,38,All of GB,Visits
Clackmannanshire,2010-2012,Count,million pounds (GBP),4,England,Expenditure
Clackmannanshire,2014-2016,Count,Thousand Visits,21,Scotland,Visits
Clackmannanshire,2009-2011,Count,Thousand Visits,21,England,Visits
Clackmannanshire,2017-2019,Count,Thousand Nights,65,Scotland,Nights
Clackmannanshire,2015-2017,Count,million pounds (GBP),1,Scotland,Expenditure
Clackmannanshire,2015-2017,Count,Thousand Visits,34,All of GB,Visits
Clackmannanshire,2011-2013,Count,Thousand Nights,80,All of GB,Nights
Clackmannanshire,2014-2016,Count,million pounds (GBP),5,All of GB,Expenditure
Clackmannanshire,2017-2019,Count,Thousand Visits,16,England,Visits
Clackmannanshire,2014-2016,Count,million pounds (GBP),3,England,Expenditure
Clackmannanshire,2016-2018,Count,Thousand Visits,22,All of GB,Visits
Clackmannanshire,2011-2013,Count,million pounds (GBP),3,England,Expenditure
Clackmannanshire,2013-2015,Count,Thousand Nights,42,Scotland,Nights
Clackmannanshire,2014-2016,Count,Thousand Visits,44,All of GB,Visits
Clackmannanshire,2014-2016,Count,Thousand Visits,23,England,Visits
Clackmannanshire,2009-2011,Count,Thousand Nights,99,All of GB,Nights
Clackmannanshire,2013-2015,Count,million pounds (GBP),4,England,Expenditure
Clackmannanshire,2012-2014,Count,million pounds (GBP),3,England,Expenditure
Clackmannanshire,2010-2012,Count,Thousand Nights,130,All of GB,Nights
Clackmannanshire,2014-2016,Count,million pounds (GBP),2,Scotland,Expenditure
Clackmannanshire,2015-2017,Count,million pounds (GBP),4,All of GB,Expenditure
Clackmannanshire,2011-2013,Count,Thousand Nights,55,England,Nights
Clackmannanshire,2010-2012,Count,Thousand Nights,75,England,Nights
Clackmannanshire,2017-2019,Count,million pounds (GBP),1,England,Expenditure
Clackmannanshire,2013-2015,Count,million pounds (GBP),6,All of GB,Expenditure
Clackmannanshire,2010-2012,Count,Thousand Visits,24,England,Visits
Clackmannanshire,2011-2013,Count,Thousand Visits,35,All of GB,Visits
Clackmannanshire,2012-2014,Count,million pounds (GBP),5,All of GB,Expenditure
Clackmannanshire,2009-2011,Count,million pounds (GBP),3,England,Expenditure
Clackmannanshire,2013-2015,Count,Thousand Nights,93,England,Nights
Clackmannanshire,2013-2015,Count,Thousand Visits,26,England,Visits
Clackmannanshire,2009-2011,Count,Thousand Nights,39,England,Nights
Clackmannanshire,2014-2016,Count,Thousand Nights,129,All of GB,Nights
Clackmannanshire,2013-2015,Count,Thousand Visits,47,All of GB,Visits
Clackmannanshire,2013-2015,Count,Thousand Nights,135,All of GB,Nights
Dumfries and Galloway,2009-2011,Count,Thousand Visits,403,England,Visits
Dumfries and Galloway,2011-2013,Count,Thousand Visits,406,England,Visits
Dumfries and Galloway,2011-2013,Count,Thousand Nights,2444,All of GB,Nights
Dumfries and Galloway,2012-2014,Count,million pounds (GBP),76,England,Expenditure
Dumfries and Galloway,2009-2011,Count,million pounds (GBP),139,All of GB,Expenditure
Dumfries and Galloway,2016-2018,Count,Thousand Visits,257,Scotland,Visits
Dumfries and Galloway,2011-2013,Count,Thousand Visits,729,All of GB,Visits
Dumfries and Galloway,2015-2017,Count,Thousand Visits,436,England,Visits
Dumfries and Galloway,2017-2019,Count,million pounds (GBP),38,Scotland,Expenditure
Dumfries and Galloway,2013-2015,Count,Thousand Visits,702,All of GB,Visits
Dumfries and Galloway,2009-2011,Count,Thousand Visits,756,All of GB,Visits
Dumfries and Galloway,2015-2017,Count,Thousand Nights,703,Scotland,Nights
Dumfries and Galloway,2012-2014,Count,Thousand Nights,872,Scotland,Nights
Dumfries and Galloway,2017-2019,Count,Thousand Nights,716,Scotland,Nights
Dumfries and Galloway,2012-2014,Count,Thousand Visits,673,All of GB,Visits
Dumfries and Galloway,2013-2015,Count,Thousand Visits,269,Scotland,Visits
Dumfries and Galloway,2010-2012,Count,Thousand Nights,1578,England,Nights
Dumfries and Galloway,2010-2012,Count,Thousand Visits,344,Scotland,Visits
Dumfries and Galloway,2014-2016,Count,million pounds (GBP),135,All of GB,Expenditure
Dumfries and Galloway,2013-2015,Count,Thousand Nights,765,Scotland,Nights
Dumfries and Galloway,2017-2019,Count,Thousand Nights,2288,All of GB,Nights
Dumfries and Galloway,2009-2011,Count,Thousand Nights,2863,All of GB,Nights
Dumfries and Galloway,2011-2013,Count,million pounds (GBP),92,England,Expenditure
Dumfries and Galloway,2017-2019,Count,Thousand Visits,418,England,Visits
Dumfries and Galloway,2014-2016,Count,million pounds (GBP),92,England,Expenditure
Dumfries and Galloway,2015-2017,Count,million pounds (GBP),139,All of GB,Expenditure
Dumfries and Galloway,2010-2012,Count,million pounds (GBP),99,England,Expenditure
Dumfries and Galloway,2015-2017,Count,Thousand Visits,691,All of GB,Visits
Dumfries and Galloway,2013-2015,Count,million pounds (GBP),87,England,Expenditure
Dumfries and Galloway,2014-2016,Count,Thousand Visits,274,Scotland,Visits
Dumfries and Galloway,2010-2012,Count,Thousand Nights,2828,All of GB,Nights
Dumfries and Galloway,2015-2017,Count,million pounds (GBP),37,Scotland,Expenditure
Dumfries and Galloway,2014-2016,Count,Thousand Nights,2800,All of GB,Nights
Dumfries and Galloway,2014-2016,Count,million pounds (GBP),40,Scotland,Expenditure
Dumfries and Galloway,2014-2016,Count,Thousand Visits,694,All of GB,Visits
Dumfries and Galloway,2012-2014,Count,million pounds (GBP),115,All of GB,Expenditure
Dumfries and Galloway,2016-2018,Count,Thousand Visits,682,All of GB,Visits
Dumfries and Galloway,2016-2018,Count,Thousand Visits,406,England,Visits
Dumfries and Galloway,2014-2016,Count,Thousand Nights,836,Scotland,Nights
Dumfries and Galloway,2015-2017,Count,million pounds (GBP),99,England,Expenditure
Dumfries and Galloway,2009-2011,Count,Thousand Visits,341,Scotland,Visits
Dumfries and Galloway,2016-2018,Count,million pounds (GBP),86,England,Expenditure
Dumfries and Galloway,2012-2014,Count,Thousand Nights,2316,All of GB,Nights
Dumfries and Galloway,2015-2017,Count,Thousand Nights,1791,England,Nights
Dumfries and Galloway,2009-2011,Count,million pounds (GBP),96,England,Expenditure
Dumfries and Galloway,2017-2019,Count,Thousand Nights,1502,England,Nights
Dumfries and Galloway,2016-2018,Count,Thousand Nights,1550,England,Nights
Dumfries and Galloway,2015-2017,Count,Thousand Nights,2584,All of GB,Nights
Dumfries and Galloway,2014-2016,Count,Thousand Visits,407,England,Visits
Dumfries and Galloway,2013-2015,Count,Thousand Visits,412,England,Visits
Dumfries and Galloway,2016-2018,Count,million pounds (GBP),131,All of GB,Expenditure
Dumfries and Galloway,2016-2018,Count,million pounds (GBP),42,Scotland,Expenditure
Dumfries and Galloway,2013-2015,Count,Thousand Nights,2528,All of GB,Nights
Dumfries and Galloway,2009-2011,Count,million pounds (GBP),40,Scotland,Expenditure
Dumfries and Galloway,2012-2014,Count,Thousand Nights,1393,England,Nights
Dumfries and Galloway,2017-2019,Count,Thousand Visits,699,All of GB,Visits
Dumfries and Galloway,2011-2013,Count,million pounds (GBP),137,All of GB,Expenditure
Dumfries and Galloway,2017-2019,Count,million pounds (GBP),89,England,Expenditure
Dumfries and Galloway,2010-2012,Count,Thousand Nights,1177,Scotland,Nights
Dumfries and Galloway,2011-2013,Count,Thousand Visits,303,Scotland,Visits
