area,year,measurement,units,value,type_of_location_visited,breakdown_of_domestic_tourism,tourism_activity
Scotland,2014,Count,Million Visits,8,Seaside resort or town,Visits,"Special public event e.g. festival, exhibition"
Scotland,2018,Count,Million Visits,17,Rural countryside,Visits,NA
Scotland,2014,Count,Million Visits,19,Rural countryside,Visits,General day out/ to explore an area
Scotland,2013,Count,Million Visits,124,All areas,Visits,All
Scotland,2017,Count,Million Visits,21,Rural countryside,Visits,Shopping for items that you do not regularly buy
Scotland,2016,Count,Million Visits,22,Rural countryside,Visits,NA
Scotland,2019,Count,Million Visits,19,Rural countryside,Visits,NA
Scotland,2014,Count,Million Visits,2,Seaside - other,Visits,"Day out to a beauty/health centre/spa, etc."
Scotland,2017,Count,Million Visits,9,Seaside resort or town,Visits,Day trips/excursions for other leisure purpose
Scotland,2017,Count,Million Visits,9,Seaside resort or town,Visits,Leisure activities e.g. hobbies & evening classes
Scotland,2018,Count,Million Visits,8,Seaside resort or town,Visits,NA
Scotland,2014,Count,Million Visits,127,All areas,Visits,All
Scotland,2015,Count,Million Visits,124,All areas,Visits,All
Scotland,2013,Count,Million Visits,4,Seaside - beach,Visits,"Special personal events e.g. wedding, graduation"
Scotland,2016,Count,Million Visits,142,All areas,Visits,All
Scotland,2016,Count,Million Visits,2,Seaside - other,Visits,"Day out to a beauty/health centre/spa, etc."
Scotland,2017,Count,Million Visits,2,Seaside - other,Visits,NA
Scotland,2015,Count,Million Visits,11,Village,Visits,"Visitor attraction e.g. theme park, museum, zoo"
Scotland,2013,Count,Million Visits,18,Rural countryside,Visits,"Night out to a bar, pub and/or club"
Scotland,2015,Count,Million Visits,17,Rural countryside,Visits,NA
Scotland,2016,Count,Million Visits,39,Small town,Visits,NA
Scotland,2017,Count,Million Visits,40,Small town,Visits,NA
Scotland,2019,Count,Million Visits,37,Small town,Visits,NA
Scotland,2019,Count,Million Visits,134,All areas,Visits,All
Scotland,2018,Count,Million Visits,2,Seaside - other,Visits,NA
Scotland,2019,Count,Million Visits,1,Seaside - other,Visits,NA
Scotland,2015,Count,Million Visits,2,Seaside - other,Visits,"Day out to a beauty/health centre/spa, etc."
Scotland,2018,Count,Million Visits,138,All areas,Visits,All
Scotland,2013,Count,Million Visits,3,Seaside - other,Visits,NA
Scotland,2017,Count,Million Visits,151,All areas,Visits,All
Scotland,2019,Count,million pounds (GBP),1662,NA,Expenditure,Shopping for items that you do not regularly buy
Scotland,2016,Count,million pounds (GBP),469,NA,Expenditure,Watched live sporting events (not on TV)
Scotland,2014,Count,million pounds (GBP),892,NA,Expenditure,"Night out to a bar, pub and/or club"
Scotland,2017,Count,million pounds (GBP),354,NA,Expenditure,"Special personal events e.g. wedding, graduation"
Scotland,2015,Count,million pounds (GBP),400,NA,Expenditure,Watched live sporting events (not on TV)
Scotland,2014,Count,million pounds (GBP),421,NA,Expenditure,Watched live sporting events (not on TV)
Scotland,2013,Count,million pounds (GBP),243,NA,Expenditure,Watched live sporting events (not on TV)
Scotland,2015,Count,million pounds (GBP),264,NA,Expenditure,Leisure activities e.g. hobbies & evening classes
Scotland,2018,Count,million pounds (GBP),285,NA,Expenditure,Leisure activities e.g. hobbies & evening classes
Scotland,2014,Count,million pounds (GBP),1536,NA,Expenditure,Shopping for items that you do not regularly buy
Scotland,2018,Count,million pounds (GBP),265,NA,Expenditure,"Special personal events e.g. wedding, graduation"
Scotland,2016,Count,million pounds (GBP),261,NA,Expenditure,Leisure activities e.g. hobbies & evening classes
Scotland,2017,Count,million pounds (GBP),421,NA,Expenditure,Leisure activities e.g. hobbies & evening classes
Scotland,2014,Count,million pounds (GBP),469,NA,Expenditure,Leisure activities e.g. hobbies & evening classes
Scotland,2019,Count,million pounds (GBP),476,NA,Expenditure,"Sport participation, e.g. exercise classes, gym"
Scotland,2017,Count,million pounds (GBP),374,NA,Expenditure,"Sport participation, e.g. exercise classes, gym"
Scotland,2015,Count,million pounds (GBP),392,NA,Expenditure,"Special public event e.g. festival, exhibition"
Scotland,2019,Count,million pounds (GBP),629,NA,Expenditure,"Special public event e.g. festival, exhibition"
Scotland,2014,Count,million pounds (GBP),311,NA,Expenditure,"Special public event e.g. festival, exhibition"
Scotland,2016,Count,million pounds (GBP),205,NA,Expenditure,"Special public event e.g. festival, exhibition"
Scotland,2017,Count,million pounds (GBP),394,NA,Expenditure,"Special public event e.g. festival, exhibition"
Scotland,2016,Count,million pounds (GBP),1892,NA,Expenditure,Went out for a meal
Scotland,2014,Count,million pounds (GBP),1966,NA,Expenditure,Went out for a meal
Scotland,2017,Count,million pounds (GBP),551,NA,Expenditure,Watched live sporting events (not on TV)
Scotland,2013,Count,million pounds (GBP),1675,NA,Expenditure,Went out for a meal
Scotland,2019,Count,million pounds (GBP),551,NA,Expenditure,Watched live sporting events (not on TV)
Scotland,2013,Count,million pounds (GBP),228,NA,Expenditure,"Special public event e.g. festival, exhibition"
Scotland,2018,Count,million pounds (GBP),496,NA,Expenditure,Watched live sporting events (not on TV)
Scotland,2018,Count,million pounds (GBP),1538,NA,Expenditure,Shopping for items that you do not regularly buy
Scotland,2016,Count,million pounds (GBP),273,NA,Expenditure,"Special personal events e.g. wedding, graduation"
Scotland,2017,Count,million pounds (GBP),1561,NA,Expenditure,Shopping for items that you do not regularly buy
Scotland,2019,Count,million pounds (GBP),266,NA,Expenditure,"Special personal events e.g. wedding, graduation"
Scotland,2015,Count,million pounds (GBP),1033,NA,Expenditure,Shopping for items that you do not regularly buy
Scotland,2014,Count,million pounds (GBP),71,NA,Expenditure,"Day out to a beauty/health centre/spa, etc."
Scotland,2013,Count,million pounds (GBP),1512,NA,Expenditure,Shopping for items that you do not regularly buy
Scotland,2014,Count,million pounds (GBP),223,NA,Expenditure,"Special personal events e.g. wedding, graduation"
Scotland,2016,Count,million pounds (GBP),826,NA,Expenditure,"Outdoor leisure activities e.g. walking, golf"
Scotland,2016,Count,million pounds (GBP),1380,NA,Expenditure,Shopping for items that you do not regularly buy
Scotland,2013,Count,million pounds (GBP),85,NA,Expenditure,"Special personal events e.g. wedding, graduation"
